,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
188,1572265860,9345.88,9349.38,9333.68,9349.38,52.54,490845.45,force_direct,
189,1572265920,9334.3,9345.88,9334.03,9345.88,15.9,148496.88,force_direct,
190,1572265980,9348.12,9349.39,9334.04,9334.3,20.3,189652.06,force_direct,
191,1572266040,9336.92,9348.12,9335.01,9348.12,24.83,231950.91,force_direct,
192,1572266100,9344.0,9345.74,9334.31,9336.92,23.01,214869.35,force_direct,
193,1572266160,9355.06,9359.37,9342.25,9344.0,19.34,180895.96,force_direct,
194,1572266220,9355.35,9359.99,9355.06,9355.06,15.84,148268.22,force_direct,
195,1572266280,9352.64,9358.37,9351.07,9355.35,17.15,160436.84,force_direct,
196,1572266340,9345.25,9353.0,9345.0,9352.64,18.31,171202.53,force_direct,
197,1572266400,9338.23,9346.4,9336.73,9345.25,25.61,239209.05,force_direct,
198,1572266460,9331.28,9338.23,9331.26,9338.23,24.3,226821.27,force_direct,
199,1572266520,9319.33,9334.5,9316.95,9331.28,53.24,496387.01,force_direct,
200,1572266580,9334.15,9341.62,9313.44,9319.33,67.91,633202.96,force_direct,
201,1572266640,9322.75,9341.62,9321.03,9334.15,43.51,406036.12,force_direct,
202,1572266700,9328.92,9335.25,9321.03,9322.75,42.69,398263.58,force_direct,
203,1572266760,9320.1,9328.92,9310.0,9328.92,55.19,514194.36,force_direct,
204,1572266820,9323.39,9326.66,9316.03,9320.1,33.38,311100.35,force_direct,
205,1572266880,9305.28,9327.04,9300.42,9323.39,191.03,1778692.2,force_direct,
206,1572266940,9304.58,9312.27,9301.16,9305.28,50.86,473266.32,force_direct,
207,1572267000,9294.77,9304.58,9282.72,9304.58,167.16,1554142.49,force_direct,
208,1572267060,9266.53,9294.77,9258.08,9294.77,169.13,1568470.59,force_direct,
209,1572267120,9277.04,9289.14,9263.61,9266.53,107.44,996567.89,force_direct,
210,1572267180,9265.22,9277.04,9254.0,9277.04,156.83,1452607.81,force_direct,
211,1572267240,9305.34,9307.56,9263.64,9265.22,213.82,1985291.05,force_direct,
212,1572267300,9320.15,9329.65,9302.65,9305.34,143.08,1333112.6,force_direct,
213,1572267360,9329.47,9339.78,9320.0,9320.15,100.34,936120.87,force_direct,
214,1572267420,9329.56,9335.27,9322.81,9329.47,70.44,657071.58,force_direct,
215,1572267480,9336.31,9340.0,9329.22,9329.56,30.71,286694.16,force_direct,
216,1572267540,9323.07,9336.31,9322.81,9336.31,28.54,266182.98,force_direct,
217,1572267600,9305.0,9326.4,9303.21,9323.07,38.66,359960.59,force_direct,
218,1572267660,9300.58,9309.62,9297.25,9305.0,38.24,355736.56,force_direct,
219,1572267720,9318.95,9318.98,9298.03,9300.58,87.28,812537.41,force_direct,
220,1572267780,9322.3,9335.69,9318.33,9318.95,41.36,385716.59,force_direct,
221,1572267840,9322.18,9329.06,9317.73,9322.3,65.19,607741.48,force_direct,
222,1572267900,9325.19,9329.84,9321.12,9322.18,39.26,366104.18,force_direct,
223,1572267960,9322.93,9329.47,9321.12,9325.19,58.5,545543.49,force_direct,
224,1572268020,9331.34,9335.41,9321.16,9322.93,65.78,613567.59,force_direct,
225,1572268080,9318.62,9333.03,9317.72,9331.34,31.88,297333.14,force_direct,
226,1572268140,9308.72,9319.33,9308.6,9318.62,25.44,236989.7,force_direct,
227,1572268200,9323.48,9327.31,9300.75,9308.72,63.6,592410.74,force_direct,
228,1572268260,9313.55,9325.78,9312.96,9323.48,23.69,220816.29,force_direct,
229,1572268320,9321.02,9327.99,9313.55,9313.55,36.54,340665.75,force_direct,
230,1572268380,9327.86,9328.0,9318.02,9321.02,41.18,383948.06,force_direct,
231,1572268440,9334.25,9335.7,9323.11,9327.86,64.51,601900.93,force_direct,
232,1572268500,9369.62,9375.0,9330.37,9334.25,161.88,1514380.45,force_direct,
233,1572268560,9386.76,9391.0,9367.0,9369.62,134.06,1257540.32,force_direct,
234,1572268620,9382.14,9391.13,9370.71,9386.76,84.64,794085.21,force_direct,
235,1572268680,9386.95,9390.74,9370.73,9382.14,62.72,588476.5,force_direct,
236,1572268740,9388.31,9395.91,9381.5,9386.95,43.15,405143.2,force_direct,
237,1572268800,9398.33,9415.0,9388.31,9388.31,178.04,1674179.46,force_direct,
238,1572268860,9400.0,9406.12,9391.07,9398.33,59.28,557103.19,force_direct,
239,1572268920,9394.87,9409.17,9394.87,9400.0,83.83,788354.29,force_direct,
240,1572268980,9372.46,9397.01,9370.32,9394.87,122.35,1147835.19,force_direct,
241,1572269040,9373.58,9380.11,9370.0,9372.46,40.79,382460.12,force_direct,
242,1572269100,9366.33,9373.7,9357.16,9373.58,91.48,856919.76,force_direct,
243,1572269160,9377.02,9383.0,9366.33,9366.33,53.34,500144.34,force_direct,
